ntopics alpha eta coherence
10 0.1 0.01 0.3047322739338573
10 0.1 0.1 0.3171042338625879
10 0.1 auto 0.3001018081709562
10 0.1 0.01 0.2967870907404214
10 0.1 0.1 0.3232969206922861
10 0.1 auto 0.29940247865204206
10 0.01 0.01 0.3055760334952377
10 0.01 0.1 0.3270658181113938
10 0.01 auto 0.3323328063215617
10 auto 0.01 0.35632541882750546
10 auto 0.1 0.3570997304552424
10 auto auto 0.3468924462730418
15 0.06666666666666667 0.01 0.2811455409228854
15 0.06666666666666667 0.1 0.3223269955660083
15 0.06666666666666667 auto 0.3151322841914235
15 0.1 0.01 0.29169390688759606
15 0.1 0.1 0.31504658602484775
15 0.1 auto 0.3477731780514452
15 0.01 0.01 0.3054314710015836
15 0.01 0.1 0.3051361398357558
15 0.01 auto 0.32116312985207446
15 auto 0.01 0.40555085505277294
15 auto 0.1 0.39061343924566344
15 auto auto 0.3630540171828648
30 0.03333333333333333 0.01 0.38355625519198766
30 0.03333333333333333 0.1 0.38757101111695497
30 0.03333333333333333 auto 0.393367019361371
30 0.1 0.01 0.43334111864185304
30 0.1 0.1 0.39746459055771577
30 0.1 auto 0.41859818549460376
30 0.01 0.01 0.3653998790538772
30 0.01 0.1 0.36841185063970655
30 0.01 auto 0.37938562638603257
30 auto 0.01 0.4892973020206099
30 auto 0.1 0.4643146537660469
30 auto auto 0.46751531613478975
50 0.02 0.01 0.4648550870601627
50 0.02 0.1 0.44959777709311005
50 0.02 auto 0.45431038088500736
50 0.1 0.01 0.5410300398686905
50 0.1 0.1 0.5052176709580328
50 0.1 auto 0.5288282019984121
50 0.01 0.01 0.4384836986925817
50 0.01 0.1 0.45458344563218306
50 0.01 auto 0.38260294878883505
50 auto 0.01 0.5074066756330925
50 auto 0.1 0.5375665645141736
50 auto auto 0.4897483632139956
80 0.0125 0.01 0.4826101596468556
80 0.0125 0.1 0.5046060097576566
80 0.0125 auto 0.4782223465207725
80 0.1 0.01 0.5929296833147033
80 0.1 0.1 0.5705905701134838
80 0.1 auto 0.5800561979316411
80 0.01 0.01 0.49031853858670277
80 0.01 0.1 0.4780019645500005
80 0.01 auto 0.4599800787158442
80 auto 0.01 0.4508463454735806
80 auto 0.1 0.5004380029099759
80 auto auto 0.5035558212163653
